compound_id,receptor_id,pose_rank,score_kcal_mol,rmsd_lb,rmsd_ub,pose_file,error
AZ1_GPR81_agonist_2,8Z8A,5,-2.094,3.214,12.926,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/AZ1_GPR81_agonist_2.pdbqt,
GPR81_agonist_1,8Z8A,1,-7.73,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/GPR81_agonist_1.pdbqt,
GPR81_agonist_1,8Z8A,2,-7.597,2.368,8.515,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/GPR81_agonist_1.pdbqt,
GPR81_agonist_1,8Z8A,3,-7.509,1.404,1.781,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/GPR81_agonist_1.pdbqt,
GPR81_agonist_1,8Z8A,4,-7.385,1.873,2.365,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/GPR81_agonist_1.pdbqt,
GPR81_agonist_1,8Z8A,5,-6.167,2.578,3.291,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/GPR81_agonist_1.pdbqt,
CHBA,8Z8A,1,-5.929,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/CHBA.pdbqt,
CHBA,8Z8A,2,-5.924,2.731,4.331,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/CHBA.pdbqt,
CHBA,8Z8A,3,-5.847,2.728,4.405,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/CHBA.pdbqt,
CHBA,8Z8A,4,-5.839,2.719,3.691,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/CHBA.pdbqt,
CHBA,8Z8A,5,-5.836,1.451,3.774,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/CHBA.pdbqt,
3_5_DHBA,8Z8A,1,-6.28,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_5_DHBA.pdbqt,
3_5_DHBA,8Z8A,2,-6.217,0.219,2.504,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_5_DHBA.pdbqt,
3_5_DHBA,8Z8A,3,-5.967,1.542,3.734,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_5_DHBA.pdbqt,
3_5_DHBA,8Z8A,4,-5.955,1.546,2.898,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_5_DHBA.pdbqt,
3_5_DHBA,8Z8A,5,-5.94,1.333,4.216,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_5_DHBA.pdbqt,
3_OBA,8Z8A,1,-4.638,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_OBA.pdbqt,
3_OBA,8Z8A,2,-4.477,1.139,3.07,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_OBA.pdbqt,
3_OBA,8Z8A,3,-4.349,2.005,3.927,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_OBA.pdbqt,
3_OBA,8Z8A,4,-4.296,2.111,2.843,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_OBA.pdbqt,
3_OBA,8Z8A,5,-4.173,2.196,3.353,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_OBA.pdbqt,
