compound_id,receptor_id,seed,pose_rank,score_kcal_mol,centroid_x,centroid_y,centroid_z
CHBA,8Z8A,5,3,-5.874,95.641,129.257,125.931
CHBA,8Z8A,5,4,-5.86,95.733,128.556,125.124
CHBA,8Z8A,5,5,-5.827,96.045,128.991,126.009
CHBA,8Z8A,5,6,-5.821,96.03,127.367,125.159
CHBA,8Z8A,5,7,-5.638,95.041,128.533,125.613
CHBA,8Z8A,5,8,-5.573,96.706,128.459,125.44
CHBA,8Z8A,6,1,-5.947,95.407,128.388,125.623
CHBA,8Z8A,6,2,-5.922,95.374,129.51,125.775
CHBA,8Z8A,6,3,-5.919,95.248,128.372,125.512
CHBA,8Z8A,6,4,-5.845,96.19,127.387,125.126
CHBA,8Z8A,6,5,-5.829,96.134,129.182,126.031
CHBA,8Z8A,6,6,-5.644,95.162,128.601,125.404
CHBA,8Z8A,6,7,-5.563,99.025,133.597,134.034
CHBA,8Z8A,6,8,-5.413,101.298,133.531,133.494
CHBA,8Z8A,7,1,-5.956,95.336,128.478,125.52
CHBA,8Z8A,7,2,-5.935,95.639,128.31,125.684
CHBA,8Z8A,7,3,-5.862,95.485,129.256,125.865
CHBA,8Z8A,7,4,-5.833,96.037,127.314,125.064
CHBA,8Z8A,7,5,-5.832,96.059,128.939,126.022
CHBA,8Z8A,7,6,-5.63,95.171,128.665,125.492
CHBA,8Z8A,7,7,-5.552,99.005,133.658,133.808
CHBA,8Z8A,7,8,-5.551,96.617,128.525,125.308
3_OBA,8Z87,20260803,1,-4.787,96.397,129.767,126.676
3_OBA,8Z87,20260803,2,-4.445,95.161,128.277,125.767
3_OBA,8Z87,20260803,3,-4.439,95.783,128.068,125.924
3_OBA,8Z87,20260803,4,-4.403,95.535,128.339,125.148
3_OBA,8Z87,20260803,5,-4.367,96.677,127.824,126.288
3_OBA,8Z87,20260803,6,-4.34,97.568,126.47,124.58
3_OBA,8Z87,20260803,7,-4.327,96.292,134.206,133.742
3_OBA,8Z87,20260803,8,-4.208,97.748,126.581,124.692
3_OBA,8Z87,1,1,-4.8,96.655,129.872,126.655
3_OBA,8Z87,1,2,-4.449,95.03,128.25,125.686
3_OBA,8Z87,1,3,-4.436,95.857,128.17,125.954
3_OBA,8Z87,1,4,-4.403,95.593,128.339,125.369
3_OBA,8Z87,1,5,-4.352,97.606,126.734,124.714
3_OBA,8Z87,1,6,-4.352,96.289,134.15,134.024
3_OBA,8Z87,1,7,-4.324,96.918,128.583,126.266
3_OBA,8Z87,1,8,-4.163,98.364,126.882,124.662
3_OBA,8Z87,2,1,-4.786,96.547,129.84,126.715
3_OBA,8Z87,2,2,-4.458,95.111,128.312,125.659
3_OBA,8Z87,2,3,-4.382,96.746,127.796,126.197
3_OBA,8Z87,2,4,-4.374,95.917,128.029,125.849
3_OBA,8Z87,2,5,-4.357,96.583,128.711,126.456
3_OBA,8Z87,2,6,-4.347,96.206,134.174,133.974
3_OBA,8Z87,2,7,-4.346,97.578,126.579,124.815
3_OBA,8Z87,2,8,-4.242,96.868,128.075,126.24
3_OBA,8Z87,3,1,-4.793,96.447,129.898,126.671
3_OBA,8Z87,3,2,-4.431,95.456,128.427,125.788
3_OBA,8Z87,3,3,-4.43,95.884,128.087,125.784
3_OBA,8Z87,3,4,-4.343,96.363,134.182,133.694
3_OBA,8Z87,3,5,-4.291,97.682,126.594,124.551
3_OBA,8Z87,3,6,-4.289,96.946,127.515,126.12
3_OBA,8Z87,3,7,-4.288,96.14,134.763,133.894
3_OBA,8Z87,4,1,-4.79,96.435,129.76,126.679
3_OBA,8Z87,4,2,-4.456,95.009,128.314,125.829
3_OBA,8Z87,4,3,-4.433,95.698,128.126,125.789
3_OBA,8Z87,4,4,-4.411,96.815,129.564,126.192
3_OBA,8Z87,4,5,-4.345,96.402,134.178,133.869
3_OBA,8Z87,4,6,-4.289,96.165,134.748,133.899
3_OBA,8Z87,4,7,-4.287,96.328,128.015,125.973
3_OBA,8Z87,4,8,-4.2,97.813,126.378,124.71
3_OBA,8Z87,5,1,-4.795,96.477,129.98,126.654
3_OBA,8Z87,5,2,-4.452,95.12,128.313,125.859
3_OBA,8Z87,5,3,-4.441,95.66,128.12,125.908
3_OBA,8Z87,5,4,-4.358,96.568,127.855,126.237
3_OBA,8Z87,5,5,-4.351,96.417,134.125,133.898
