compound,receptor,seed,pose_rank,score_kcal_mol
28,8Z8A,1,3,-5.394
28,8Z8A,2,1,-7.383
28,8Z8A,2,2,-7.037
28,8Z8A,2,3,-5.789
28,8Z8A,2,4,-4.507
28,8Z8A,3,1,-7.428
28,8Z8A,3,2,-7.037
28,8Z8A,3,3,-5.253
28,8Z8A,4,1,-7.408
28,8Z8A,4,2,-7.015
28,8Z8A,5,1,-7.473
28,8Z8A,5,2,-7.09
28,8Z8A,5,3,-5.553
28,8Z8A,6,1,-7.47
28,8Z8A,6,2,-7.015
28,8Z8A,6,3,-5.046
28,8Z8A,6,4,-4.561
28,8Z8A,7,1,-7.404
28,8Z8A,7,2,-7.01
28,8Z8A,7,3,-5.203
30,8Z8A,20260803,1,-5.765
30,8Z8A,20260803,2,-5.557
30,8Z8A,20260803,3,-5.42
30,8Z8A,20260803,4,-4.398
30,8Z8A,1,1,-5.811
30,8Z8A,1,2,-4.497
30,8Z8A,2,1,-5.716
30,8Z8A,2,2,-5.425
30,8Z8A,2,3,-4.345
30,8Z8A,2,4,-3.254
30,8Z8A,3,1,-5.69
30,8Z8A,4,1,-5.643
30,8Z8A,4,2,-4.922
30,8Z8A,5,1,-5.706
30,8Z8A,5,2,-5.426
30,8Z8A,5,3,-3.701
30,8Z8A,6,1,-5.887
30,8Z8A,6,2,-5.658
30,8Z8A,6,3,-4.227
30,8Z8A,6,4,-4.08
30,8Z8A,7,1,-6.009
30,8Z8A,7,2,-5.841
30,8Z8A,7,3,-5.103
31,8Z8A,20260803,1,-2.797
31,8Z8A,20260803,2,-0.958
31,8Z8A,1,1,-2.832
31,8Z8A,1,2,-1.376
31,8Z8A,2,1,-2.783
31,8Z8A,2,2,-1.296
31,8Z8A,2,3,-0.478
31,8Z8A,2,4,-0.122
31,8Z8A,3,1,-2.795
31,8Z8A,3,2,-1.08
31,8Z8A,3,3,0.09
31,8Z8A,4,1,-2.841
31,8Z8A,4,2,-0.377
31,8Z8A,5,1,-2.792
31,8Z8A,5,2,-1.951
31,8Z8A,5,3,-0.737
31,8Z8A,6,1,-2.82
31,8Z8A,6,2,-1.652
31,8Z8A,6,3,-0.52
31,8Z8A,6,4,-0.412
31,8Z8A,7,1,-2.829
31,8Z8A,7,2,-1.364
35,8Z8A,20260803,1,-5.035
35,8Z8A,20260803,2,-4.263
35,8Z8A,20260803,3,-4.148
35,8Z8A,20260803,4,-2.862
35,8Z8A,1,1,-5.036
35,8Z8A,1,2,-4.526
35,8Z8A,1,3,-4.139
35,8Z8A,1,4,-2.881
35,8Z8A,1,5,-2.616
35,8Z8A,2,1,-4.976
35,8Z8A,2,2,-4.395
35,8Z8A,2,3,-4.138
35,8Z8A,2,4,-2.919
35,8Z8A,3,1,-5.078
35,8Z8A,3,2,-4.48
35,8Z8A,3,3,-4.153
35,8Z8A,3,4,-2.754
35,8Z8A,3,5,-2.677
35,8Z8A,4,1,-5.17
35,8Z8A,4,2,-4.456
35,8Z8A,4,3,-4.114
35,8Z8A,4,4,-4.067
35,8Z8A,4,5,-2.735
35,8Z8A,5,1,-5.099
35,8Z8A,5,2,-4.097
35,8Z8A,5,3,-2.971
35,8Z8A,5,4,-2.94
35,8Z8A,5,5,-2.117
35,8Z8A,6,1,-5.115
35,8Z8A,6,2,-4.394
35,8Z8A,6,3,-4.12
35,8Z8A,6,4,-2.817
35,8Z8A,7,1,-5.124
35,8Z8A,7,2,-4.401
35,8Z8A,7,3,-4.086
35,8Z8A,7,4,-2.872
35,8Z8A,7,5,-2.861
36,8Z8A,20260803,1,-5.125
36,8Z8A,20260803,2,-3.95
