entry_id,name,smiles,ec50_nM,emax_pct,boltz_job_id,boltz_result_url,boltz_exit_code,boltz_affinity_pred_value,boltz_affinity_probability_binary,boltz_confidence_score,boltz_ligand_iptm,boltz_complex_ipde,error
c14,Davidsson 2020 compound 14,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1,560.0,47,f004ad4e-c94b-4290-9f1c-301c772df5ce,https://biolib.corp.novocorp.net/results/f004ad4e-c94b-4290-9f1c-301c772df5ce/,0,-0.6062648296356201,0.3520008325576782,0.78570955991745,0.8835827708244324,1.4669581651687622,
c15,Davidsson 2020 compound 15,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccccc3s2)cc1N1CCOCC1,299.0,,40e504f8-cc7e-4d4c-86c7-12bfa02a696c,https://biolib.corp.novocorp.net/results/40e504f8-cc7e-4d4c-86c7-12bfa02a696c/,0,-0.3946388363838196,0.508487343788147,0.8492499589920044,0.9666094183921814,0.635536789894104,
c16,Davidsson 2020 compound 16,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc(-c3ccccc3)cs2)cc1N1CCOCC1,103.0,,0b0f9e5c-42b9-4d07-a45c-e4bd7ae05fcf,https://biolib.corp.novocorp.net/results/0b0f9e5c-42b9-4d07-a45c-e4bd7ae05fcf/,0,-0.8289814591407776,0.47307759523391724,0.8409952521324158,0.9212877154350281,1.1479878425598145,
c17,Davidsson 2020 compound 17,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2cc3ccccc3s2)cc1N1CCOCC1,260.0,,73c78185-68f9-481a-bff1-250162c64be6,https://biolib.corp.novocorp.net/results/73c78185-68f9-481a-bff1-250162c64be6/,0,-1.0871710777282715,0.46117013692855835,0.8522117733955383,0.9700452089309692,0.6138410568237305,
c18,Davidsson 2020 compound 18,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2ncc(C)s2)cc1N1CCOCC1,769.0,,7ed85d12-5f5b-4272-aa59-23322b7392b4,https://biolib.corp.novocorp.net/results/7ed85d12-5f5b-4272-aa59-23322b7392b4/,0,0.2522662878036499,0.22483889758586884,0.8595932126045227,0.9641595482826233,0.6886393427848816,
c19,Davidsson 2020 compound 19,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CCCC3)cc1N1CCOCC1,120.0,,fff6e956-0f81-47a5-bd00-9be0c9e30155,https://biolib.corp.novocorp.net/results/fff6e956-0f81-47a5-bd00-9be0c9e30155/,0,-0.6652357578277588,0.45034000277519226,0.8451268076896667,0.9435111880302429,0.9125341773033142,
c20,Davidsson 2020 compound 20,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CN(C(C)=O)CC3)cc1N1CCOCC1,719.0,,5e1cefee-f2ab-4bec-b876-d01d4d783baa,https://biolib.corp.novocorp.net/results/5e1cefee-f2ab-4bec-b876-d01d4d783baa/,0,0.18002216517925262,0.16966181993484497,0.8252758383750916,0.952404797077179,0.8420506715774536,
c21,Davidsson 2020 compound 21,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CN(C(=O)CO)CC3)cc1N1CCOCC1,895.0,,6654adb4-cd33-431d-a486-fa7635615264,https://biolib.corp.novocorp.net/results/6654adb4-cd33-431d-a486-fa7635615264/,0,-0.08955026417970657,0.1433766782283783,0.8488157391548157,0.9599958062171936,0.7381581664085388,
c22,Davidsson 2020 compound 22,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1N1CCOCC1,166.0,,adf50269-a63c-43a3-b449-16e4841a8587,https://biolib.corp.novocorp.net/results/adf50269-a63c-43a3-b449-16e4841a8587/,0,-0.6928560733795166,0.2093033492565155,0.824266254901886,0.9033724665641785,1.451306939125061,
c23,Davidsson 2020 compound 23,CCOc1cc(Cl)c(C(=O)N(C)C(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,16000.0,,ba17fa96-ebc6-455b-a800-0ddee8618c11,https://biolib.corp.novocorp.net/results/ba17fa96-ebc6-455b-a800-0ddee8618c11/,0,0.26787126064300537,0.21081729233264923,0.8524350523948669,0.9668279886245728,0.7763746380805969,
