entry_id,name,series,smiles,chembl_id,status,ec50_uM,ec50_nM,emax_pct,ec50_source,gpr109a_fold,ghsr_fold,lle,sol_uM,potency_rank,tier,tier_basis,dock_8Z8A_best,dock_8Z8A_protocol,region_8Z8A,dock_9KT9_best,region_9KT9,dock_support
c11,Davidsson 2020 compound 11,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-n1cccn1,,reconstructed_and_MS_validated,0.019,19.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,9,A,EC50 19 nM <= 50; no selectivity data,-4.359,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-0.052,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c12,Davidsson 2020 compound 12,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-n1cccc1,,reconstructed_and_MS_validated,0.022,22.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,11,A,EC50 22 nM <= 50; no selectivity data,-4.68,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-3.93,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c13,Davidsson 2020 compound 13,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-c1cn[nH]c1,,reconstructed_and_MS_validated,0.36,360.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,29,C,EC50 360 nM > 100; no selectivity data,-5.063,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-4.359,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c14,Davidsson 2020 compound 14,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1,,reconstructed_and_MS_validated,0.56,560.0,47,"paper Table (transcribed, phase1-2 recovery)",,,,,32,C,EC50 560 nM > 100; partial agonist (Emax 47%); no selectivity data,-7.376,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-6.042,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c15,Davidsson 2020 compound 15,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccccc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.299,299.0,,"paper Table (transcribed, phase1-2 recovery)",25,1.3,,,27,C,EC50 299 nM > 100; GPR109A 25x; GHSR 1.3x,-8.202,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-4.995,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c16,Davidsson 2020 compound 16,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc(-c3ccccc3)cs2)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.103,103.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,20,C,EC50 103 nM > 100; no selectivity data,-7.353,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-5.089,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c17,Davidsson 2020 compound 17,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2cc3ccccc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.26,260.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,26,C,EC50 260 nM > 100; no selectivity data,-8.15,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-5.859,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c18,Davidsson 2020 compound 18,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2ncc(C)s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.769,769.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,36,C,EC50 769 nM > 100; no selectivity data,-7.473,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-5.5,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c19,Davidsson 2020 compound 19,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CCCC3)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.12,120.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,22,C,EC50 120 nM > 100; no selectivity data,-7.554,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-4.926,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c20,Davidsson 2020 compound 20,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CN(C(C)=O)CC3)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.719,719.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,34,C,EC50 719 nM > 100; no selectivity data,-6.722,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-5.795,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c21,Davidsson 2020 compound 21,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CN(C(=O)CO)CC3)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.895,895.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,37,C,EC50 895 nM > 100; no selectivity data,-6.781,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-3.554,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c22,Davidsson 2020 compound 22,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1N1CCOCC1,,authoritative,0.166,166.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,24,C,EC50 166 nM > 100; no selectivity data,-0.882,phase6 2-seed x ex16 x 5poses,MIXED,0.312,ORTHO_POCKET,"negative score, region MIXED"
c23,Davidsson 2020 compound 23,linker_variant,CCOc1cc(Cl)c(C(=O)N(C)C(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,16.0,16000.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,39,C,EC50 16000 nM > 100; no selectivity data,-6.963,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-4.421,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c24,Davidsson 2020 compound 24,linker_variant,CCOc1cc(Cl)c(CNC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,33.0,33000.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,40,C,EC50 33000 nM > 100; no selectivity data,-6.715,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-5.859,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c25,Davidsson 2020 compound 25,linker_variant,CCOc1cc(Cl)c(NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,33.0,33000.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,41,C,EC50 33000 nM > 100; no selectivity data,-4.638,phase6 2-seed x ex16 x 5poses,MIXED,-1.367,ORTHO_POCKET,"negative score, region MIXED"
c26,Davidsson 2020 compound 26,constrained_analogue_cyclic,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3ccccc3s2)c(=O)[nH]c1,,reconstructed_and_MS_validated,0.021,21.0,,"paper Table (transcribed, phase1-2 recovery)",29,62,3.9,,10,A,EC50 21 nM <= 50; GPR109A 29x; GHSR 62x,-7.183,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-5.231,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
